user_id,last_watch_date,days_inactive,churn_risk
U0001,2026-04-13,6,Low Risk
U0002,2026-04-17,2,Low Risk
U0003,2026-04-13,6,Low Risk
U0004,2026-04-10,9,Low Risk
U0005,2026-03-23,27,Low Risk
U0006,2026-04-06,13,Low Risk
U0007,2026-04-05,14,Low Risk
U0008,2026-04-06,13,Low Risk
U0009,2026-04-14,5,Low Risk
U0010,2026-04-15,4,Low Risk
U0011,2026-03-27,23,Low Risk
U0012,2026-04-16,3,Low Risk
U0013,2026-04-09,10,Low Risk
U0014,2026-04-03,16,Low Risk
U0015,2026-04-18,1,Low Risk
U0016,2026-04-14,5,Low Risk
U0017,2026-04-15,4,Low Risk
U0018,2026-04-18,1,Low Risk
U0019,2026-04-03,16,Low Risk
U0020,2026-04-03,16,Low Risk
U0021,2026-04-10,9,Low Risk
U0022,2026-04-10,9,Low Risk
U0023,2026-04-13,6,Low Risk
U0024,2026-04-15,4,Low Risk
U0025,2026-04-16,3,Low Risk
U0026,2026-03-18,32,Medium Risk
U0027,2026-03-08,42,Medium Risk
U0028,2026-04-11,8,Low Risk
U0029,2026-04-10,9,Low Risk
U0030,2026-04-15,4,Low Risk
U0031,2026-04-04,15,Low Risk
U0032,2026-04-05,14,Low Risk
U0033,2026-04-19,0,Low Risk
U0034,2026-04-19,0,Low Risk
U0035,2026-04-07,12,Low Risk
U0036,2026-04-17,2,Low Risk
U0037,2026-04-06,13,Low Risk
U0038,2026-03-19,31,Medium Risk
U0039,2026-04-08,11,Low Risk
U0040,2026-04-18,1,Low Risk
U0041,2026-01-20,89,High Risk
U0042,2026-04-13,6,Low Risk
U0043,2026-03-16,34,Medium Risk
U0044,2026-03-11,39,Medium Risk
U0045,2026-04-05,14,Low Risk
U0046,2026-03-20,30,Low Risk
U0047,2026-03-24,26,Low Risk
U0048,2026-03-01,49,Medium Risk
U0049,2026-04-04,15,Low Risk
U0050,2026-03-20,30,Low Risk
U0051,2026-04-16,3,Low Risk
U0052,2026-03-07,43,Medium Risk
U0053,2026-04-03,16,Low Risk
U0054,2026-04-10,9,Low Risk
U0055,2026-04-13,6,Low Risk
U0056,2026-03-17,33,Medium Risk
U0057,2026-04-17,2,Low Risk
U0058,2026-04-13,6,Low Risk
U0059,2026-03-29,21,Low Risk
U0060,2026-03-26,24,Low Risk
U0061,2026-04-14,5,Low Risk
U0062,2026-02-19,59,Medium Risk
U0063,2026-04-16,3,Low Risk
U0064,2026-03-12,38,Medium Risk
U0065,2026-04-02,17,Low Risk
U0066,2026-04-14,5,Low Risk
U0067,2026-03-25,25,Low Risk
U0068,2026-04-16,3,Low Risk
U0069,2026-04-18,1,Low Risk
U0070,2026-04-12,7,Low Risk
U0071,2026-04-16,3,Low Risk
U0072,2026-04-15,4,Low Risk
U0073,2026-04-15,4,Low Risk
U0074,2026-04-14,5,Low Risk
U0075,2026-04-14,5,Low Risk
U0076,2026-04-17,2,Low Risk
U0077,2026-03-13,37,Medium Risk
U0078,2026-03-13,37,Medium Risk
U0079,2026-03-09,41,Medium Risk
U0080,2026-03-23,27,Low Risk
U0081,2026-04-18,1,Low Risk
U0082,2026-04-12,7,Low Risk
U0083,2026-04-07,12,Low Risk
U0084,2026-03-19,31,Medium Risk
U0085,2026-03-31,19,Low Risk
U0086,2026-03-22,28,Low Risk
U0087,2026-04-17,2,Low Risk
U0088,2026-04-09,10,Low Risk
U0089,2026-04-17,2,Low Risk
U0090,2026-03-21,29,Low Risk
U0091,2026-02-18,60,Medium Risk
U0092,2026-04-19,0,Low Risk
U0093,2026-03-04,46,Medium Risk
U0094,2026-04-11,8,Low Risk
U0095,2026-03-17,33,Medium Risk
U0096,2026-04-18,1,Low Risk
U0097,2026-03-27,23,Low Risk
U0098,2026-03-31,19,Low Risk
U0099,2026-04-19,0,Low Risk
U0100,2026-03-31,19,Low Risk
U0101,2026-03-11,39,Medium Risk
U0102,2026-04-16,3,Low Risk
U0103,2026-04-17,2,Low Risk
U0104,2026-03-30,20,Low Risk
U0105,2026-03-30,20,Low Risk
U0106,2026-02-25,53,Medium Risk
U0107,2026-04-16,3,Low Risk
U0108,2026-03-16,34,Medium Risk
U0109,2026-04-03,16,Low Risk
U0110,2026-04-14,5,Low Risk
U0111,2026-04-03,16,Low Risk
U0112,2026-04-03,16,Low Risk
U0113,2026-02-04,74,High Risk
U0114,2026-03-16,34,Medium Risk
U0115,2026-04-16,3,Low Risk
U0116,2026-04-09,10,Low Risk
U0117,2026-04-10,9,Low Risk
U0118,2026-04-15,4,Low Risk
U0119,2026-03-18,32,Medium Risk
U0120,2026-04-03,16,Low Risk
U0121,2026-03-18,32,Medium Risk
U0122,2026-03-12,38,Medium Risk
U0123,2026-04-06,13,Low Risk
U0124,2026-03-17,33,Medium Risk
U0125,2026-04-17,2,Low Risk
U0126,2026-03-27,23,Low Risk
U0127,2026-04-19,0,Low Risk
U0128,2026-02-25,53,Medium Risk
U0129,2026-03-13,37,Medium Risk
U0130,2026-04-11,8,Low Risk
