user_id,age,country,subscription,join_date
U0001,53,UK,Basic,2026-03-15
U0002,51,Germany,Basic,2025-02-11
U0003,31,Germany,Premium,2024-11-25
U0004,62,UK,Premium,2023-12-10
U0005,37,Canada,Premium,2025-12-01
U0006,59,India,Basic,2024-05-29
U0007,51,Canada,Free,2024-10-02
U0008,33,UK,Free,2025-12-03
U0009,39,US,Premium,2023-09-27
U0010,53,UK,Premium,2025-08-10
U0011,32,US,Free,2024-12-29
U0012,63,Australia,Free,2023-05-22
U0013,32,US,Free,2024-05-10
U0014,39,US,Premium,2025-08-05
U0015,33,India,Premium,2023-08-12
U0016,49,UK,Premium,2024-03-29
U0017,26,Australia,Premium,2024-03-27
U0018,54,Canada,Free,2023-09-04
U0019,48,Canada,Free,2026-03-19
U0020,24,US,Premium,2024-09-20
U0021,45,India,Basic,2026-03-02
U0022,44,Canada,Premium,2023-06-26
U0023,21,Australia,Premium,2024-12-17
U0024,59,US,Free,2023-07-22
U0025,43,Australia,Basic,2025-09-15
U0026,24,UK,Free,2024-10-23
U0027,30,Germany,Basic,2024-10-18
U0028,26,Canada,Free,2023-05-23
U0029,35,Canada,Free,2023-05-11
U0030,22,Canada,Premium,2023-10-11
U0031,24,US,Premium,2023-12-06
U0032,52,US,Free,2023-05-21
U0033,33,UK,Basic,2024-11-27
U0034,49,Canada,Free,2026-03-03
U0035,43,US,Free,2024-06-09
U0036,42,US,Basic,2026-03-20
U0037,34,Canada,Basic,2023-10-29
U0038,45,Australia,Premium,2023-11-23
U0039,53,Australia,Premium,2024-08-14
U0040,49,UK,Free,2024-09-19
U0041,36,UK,Free,2023-11-19
U0042,55,Australia,Premium,2025-04-15
U0043,21,Australia,Basic,2024-05-02
U0044,21,US,Premium,2024-04-17
U0045,48,Germany,Premium,2023-12-30
U0046,28,US,Premium,2024-08-11
U0047,23,UK,Free,2026-03-02
U0048,56,US,Premium,2024-11-01
U0049,33,Canada,Free,2024-11-08
U0050,54,UK,Premium,2024-10-21
U0051,56,US,Premium,2025-01-22
U0052,23,Canada,Premium,2024-11-08
U0053,55,Germany,Premium,2023-04-24
U0054,38,India,Free,2025-07-29
U0055,60,Australia,Basic,2024-04-19
U0056,33,India,Basic,2024-12-06
U0057,26,Australia,Premium,2023-06-16
U0058,37,Canada,Basic,2024-03-14
U0059,22,US,Basic,2024-01-17
U0060,57,Germany,Free,2023-10-21
U0061,22,Germany,Free,2023-12-22
